SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,pc1,pc2
5.1,3.5,1.4,0.2,Iris-setosa,-2.6842071251039483,0.3266073147643885
4.9,3.0,1.4,0.2,Iris-setosa,-2.71539061563413,-0.16955684755602624
4.7,3.2,1.3,0.2,Iris-setosa,-2.889819539617916,-0.13734560960502795
4.6,3.1,1.5,0.2,Iris-setosa,-2.746437197308734,-0.31112431575199184
5.0,3.6,1.4,0.2,Iris-setosa,-2.7285929818313144,0.33392456356845474
5.4,3.9,1.7,0.4,Iris-setosa,-2.279897361009598,0.7477827132251336
4.6,3.4,1.4,0.3,Iris-setosa,-2.8208906821806297,-0.082104511024681
5.0,3.4,1.5,0.2,Iris-setosa,-2.6264819933238184,0.17040534896028983
4.4,2.9,1.4,0.2,Iris-setosa,-2.887958565335634,-0.5707980263315918
4.9,3.1,1.5,0.1,Iris-setosa,-2.6738446867191206,-0.10669170375273856
5.4,3.7,1.5,0.2,Iris-setosa,-2.5065267893389036,0.651935013672572
4.8,3.4,1.6,0.2,Iris-setosa,-2.613142718271056,0.021520631960257896
4.8,3.0,1.4,0.1,Iris-setosa,-2.787433975997097,-0.22774018887110628
4.3,3.0,1.1,0.1,Iris-setosa,-3.22520044627498,-0.5032799094854259
5.8,4.0,1.2,0.2,Iris-setosa,-2.643543216941146,1.1861948994134495
5.7,4.4,1.5,0.4,Iris-setosa,-2.3838693237993756,1.3447543445598622
5.4,3.9,1.3,0.4,Iris-setosa,-2.6225262031258083,0.8180896745965952
5.1,3.5,1.4,0.3,Iris-setosa,-2.6483227324791265,0.3191366677508846
5.7,3.8,1.7,0.3,Iris-setosa,-2.1990779614307634,0.8792440880917367
5.1,3.8,1.5,0.3,Iris-setosa,-2.587346188917738,0.520473638805968
5.4,3.4,1.7,0.2,Iris-setosa,-2.3105317013131335,0.397867821588892
5.1,3.7,1.5,0.4,Iris-setosa,-2.5432349073036953,0.44003175465981526
4.6,3.6,1.0,0.2,Iris-setosa,-3.215857694900105,0.14161557162558355
5.1,3.3,1.7,0.5,Iris-setosa,-2.3031285376638824,0.10552267842998224
4.8,3.4,1.9,0.2,Iris-setosa,-2.3561710866838976,-0.03120958906833842
5.0,3.0,1.6,0.2,Iris-setosa,-2.5079172268378804,-0.139056339913174
5.0,3.4,1.6,0.4,Iris-setosa,-2.4690559975451225,0.1378873145904177
5.2,3.5,1.5,0.2,Iris-setosa,-2.5623909468367505,0.3746845627501061
5.2,3.4,1.4,0.2,Iris-setosa,-2.6398212683765814,0.3192900659603219
4.7,3.2,1.6,0.2,Iris-setosa,-2.632847908030758,-0.19007583063362415
4.8,3.1,1.6,0.2,Iris-setosa,-2.588462051303391,-0.19739307943769085
5.4,3.4,1.5,0.4,Iris-setosa,-2.4100773371215958,0.41808000824761615
5.2,4.1,1.5,0.1,Iris-setosa,-2.647636673396901,0.8199826325595069
5.5,4.2,1.4,0.2,Iris-setosa,-2.5971594770759183,1.1000219280072685
4.9,3.1,1.5,0.1,Iris-setosa,-2.6738446867191206,-0.10669170375273856
5.0,3.2,1.2,0.2,Iris-setosa,-2.866999846932534,0.07719309572358721
5.5,3.5,1.3,0.2,Iris-setosa,-2.625228464680421,0.6068000084215864
4.9,3.1,1.5,0.1,Iris-setosa,-2.6738446867191206,-0.10669170375273856
4.4,3.0,1.3,0.2,Iris-setosa,-2.981842664853908,-0.4802500488560767
5.1,3.4,1.5,0.2,Iris-setosa,-2.590323025585674,0.23605933728887282
5.0,3.5,1.3,0.3,Iris-setosa,-2.770138910746324,0.2710594197651671
4.5,2.3,1.3,0.3,Iris-setosa,-2.8522110815663906,-0.9328653674695444
4.4,3.2,1.3,0.2,Iris-setosa,-2.9982964428323506,-0.3343075745907773
5.0,3.5,1.6,0.6,Iris-setosa,-2.4055141012847012,0.19591725769606078
5.1,3.8,1.9,0.4,Iris-setosa,-2.2088329541767058,0.4426960304210028
4.8,3.0,1.4,0.3,Iris-setosa,-2.715665190747454,-0.24268148289811298
5.1,3.8,1.6,0.2,Iris-setosa,-2.537573371013507,0.5103675454766059
4.6,3.2,1.4,0.2,Iris-setosa,-2.8403212968270086,-0.2205763382764767
5.3,3.7,1.5,0.2,Iris-setosa,-2.5426857570770482,0.5862810253439884
5.0,3.3,1.4,0.2,Iris-setosa,-2.70391231486365,0.11501085217050566
7.0,3.2,4.7,1.4,Iris-versicolor,1.284794587845071,0.6854391861329202
6.4,3.2,4.5,1.5,Iris-versicolor,0.9324107529829175,0.3191980898336488
6.9,3.1,4.9,1.5,Iris-versicolor,1.4640613227790753,0.5041898329724531
5.5,2.3,4.0,1.3,Iris-versicolor,0.1809672063476993,-0.8256039435761133
6.5,2.8,4.6,1.5,Iris-versicolor,1.0871344872070012,0.0753903892887675
5.7,2.8,4.5,1.3,Iris-versicolor,0.6404367495231457,-0.41732348297002575
6.3,3.3,4.7,1.6,Iris-versicolor,1.095223709938478,0.28389121093848035
4.9,2.4,3.3,1.0,Iris-versicolor,-0.7514671406482263,-1.0011075129743943
6.6,2.9,4.6,1.3,Iris-versicolor,1.0432977807062809,0.22895690877700686
5.2,2.7,3.9,1.4,Iris-versicolor,-0.010190070727852822,-0.7205748667019015
5.0,2.0,3.5,1.0,Iris-versicolor,-0.5110861958950897,-1.2624919538621404
5.9,3.0,4.2,1.5,Iris-versicolor,0.5110980606834775,-0.1022841050459702
6.0,2.2,4.0,1.0,Iris-versicolor,0.2623357561531805,-0.5478932980253367
6.1,2.9,4.7,1.4,Iris-versicolor,0.984044545169431,-0.12436042022227789
5.6,2.9,3.6,1.3,Iris-versicolor,-0.1748640019656959,-0.25181557108017066
6.7,3.1,4.4,1.4,Iris-versicolor,0.9275729420326997,0.46823620504311714
5.6,3.0,4.5,1.5,Iris-versicolor,0.6595927890562004,-0.3519762910603165
5.8,2.7,4.1,1.0,Iris-versicolor,0.23454058625983584,-0.33192182936212034
6.2,2.2,4.5,1.5,Iris-versicolor,0.9423617073988423,-0.541822258150014
5.6,2.5,3.9,1.1,Iris-versicolor,0.04324640032870497,-0.5814894466123587
5.9,3.2,4.8,1.8,Iris-versicolor,1.1162407237538159,-0.08421401387837349
6.1,2.8,4.0,1.3,Iris-versicolor,0.3567865678304614,-0.06682382794136613
6.3,2.5,4.9,1.5,Iris-versicolor,1.2964688502855342,-0.3275615197949442
6.1,2.8,4.7,1.2,Iris-versicolor,0.9205026489090096,-0.18239036332792097
6.4,2.9,4.3,1.3,Iris-versicolor,0.7140082136428333,0.15037915314843728
6.6,3.0,4.4,1.4,Iris-versicolor,0.8996408632837759,0.32961097958188407
6.8,2.8,4.8,1.4,Iris-versicolor,1.33104141885472,0.24466952060228936
6.7,3.0,5.0,1.7,Iris-versicolor,1.557396272070702,0.26739258481276484
6.0,2.9,4.5,1.5,Iris-versicolor,0.812455548998002,-0.16233157487863326
5.7,2.6,3.5,1.0,Iris-versicolor,-0.30733475566340396,-0.36508661276616033
5.5,2.4,3.8,1.1,Iris-versicolor,-0.07034288894927106,-0.7025379317307259
5.5,2.4,3.7,1.0,Iris-versicolor,-0.19188449210314515,-0.6774905443743572
5.8,2.7,3.9,1.2,Iris-versicolor,0.13499495045137355,-0.3117096427033962
6.0,2.7,5.1,1.6,Iris-versicolor,1.378736982775583,-0.4212051382146283
5.4,3.0,4.5,1.5,Iris-versicolor,0.5872748535799112,-0.4832842677174825
6.0,3.4,4.5,1.6,Iris-versicolor,0.8072054966767166,0.19505396377111148
6.7,3.1,4.7,1.5,Iris-versicolor,1.2204289662446792,0.4080353370010176
6.3,2.3,4.4,1.3,Iris-versicolor,0.81286779036907,-0.37067899831890966
5.6,3.0,4.1,1.3,Iris-versicolor,0.2451951616903462,-0.266728035661848
5.5,2.5,4.0,1.3,Iris-versicolor,0.16451342836925617,-0.6796614693108137
5.5,2.6,4.4,1.2,Iris-versicolor,0.4630309888714247,-0.6695265465361225
6.1,3.0,4.6,1.4,Iris-versicolor,0.8901604456511564,-0.03381244274676266
5.8,2.6,4.0,1.2,Iris-versicolor,0.2288790499696479,-0.4022576201789113
5.0,2.3,3.3,1.0,Iris-versicolor,-0.7070812839208597,-1.0084247617784612
5.6,2.7,4.2,1.3,Iris-versicolor,0.35553303918706386,-0.5032184874026623
5.7,3.0,4.2,1.2,Iris-versicolor,0.33112694733272313,-0.21118014066262672
5.7,2.9,4.2,1.3,Iris-versicolor,0.375238228946766,-0.2916220248087798
6.2,2.9,4.3,1.3,Iris-versicolor,0.6416902781665432,0.019071176491270835
5.1,2.5,3.0,1.1,Iris-versicolor,-0.9084633331234948,-0.7515687251694855
5.7,2.8,4.1,1.3,Iris-versicolor,0.2978079074069342,-0.34701652159856394
6.3,3.3,6.0,2.5,Iris-virginica,2.5317269804395583,-0.011842236640300523
5.8,2.7,5.1,1.9,Iris-virginica,1.4140722251737576,-0.5749250559123048
7.1,3.0,5.9,2.1,Iris-virginica,2.6164846082840434,0.3419352869872948
6.3,2.9,5.6,1.8,Iris-virginica,1.970814945906482,-0.18112569470491371
6.5,3.0,5.8,2.2,Iris-virginica,2.349757983950943,-0.04188254965484184
7.6,3.0,6.6,2.1,Iris-virginica,3.3968799206781375,0.5471680462301528
4.9,2.5,4.5,1.7,Iris-virginica,0.5193832450849368,-1.1913516890506533
7.3,2.9,6.3,1.8,Iris-virginica,2.932005096991301,0.3523770061808598
6.7,2.5,5.8,1.8,Iris-virginica,2.319672793874053,-0.2455481706069101
7.2,3.6,6.1,2.5,Iris-virginica,2.9181342336442513,0.7803806293720322
6.5,3.2,5.1,2.0,Iris-virginica,1.6619349470194866,0.2420384010375224
6.4,2.7,5.3,1.9,Iris-virginica,1.8023404526607334,-0.21615460662653627
6.8,3.0,5.5,2.1,Iris-virginica,2.165378862953397,0.21528028337300723
5.7,2.5,5.0,2.0,Iris-virginica,1.3445942175098249,-0.7764154251768252
5.8,2.8,5.1,2.4,Iris-virginica,1.585267299308644,-0.539307053847172
6.4,3.2,5.3,2.3,Iris-virginica,1.9047435782139124,0.11881899098269857
6.5,3.0,5.5,1.8,Iris-virginica,1.949248781864498,0.040730259427767854
7.7,3.8,6.7,2.2,Iris-virginica,3.488765379656386,1.1715445442635644
7.7,2.6,6.9,2.3,Iris-virginica,3.79468686120997,0.25326557097253466
6.0,2.2,5.0,1.5,Iris-virginica,1.2983298245678165,-0.7610139365215078
6.9,3.2,5.7,2.3,Iris-virginica,2.4281672590208476,0.3767819712541526
5.6,2.8,4.9,2.0,Iris-virginica,1.1980973722749628,-0.6055789617645945
7.7,2.8,6.7,2.0,Iris-virginica,3.4992654842989572,0.4567734669640746
6.3,2.7,4.9,1.8,Iris-virginica,1.3876682501815556,-0.20403098657015473
6.7,3.3,5.7,2.1,Iris-virginica,2.2758536493056933,0.3333865257566422
7.2,3.2,6.0,1.8,Iris-virginica,2.6141938306983334,0.5583669502788224
6.2,2.8,4.8,1.8,Iris-virginica,1.2576251829251366,-0.17913699742322278
6.1,3.0,4.9,1.8,Iris-virginica,1.2906696477376016,-0.11642525182937251
6.4,2.8,5.6,2.1,Iris-virginica,2.1228539805083133,-0.2108548845494899
7.2,3.0,5.8,1.6,Iris-virginica,2.3875644023690277,0.46251925072626066
7.4,2.8,6.1,1.9,Iris-virginica,2.840960925285384,0.37274259104902147
7.9,3.8,6.4,2.0,Iris-virginica,3.232342898295874,1.3705240359763338
6.4,2.8,5.6,2.2,Iris-virginica,2.158738373133135,-0.21832553156299322
6.3,2.8,5.1,1.5,Iris-virginica,1.4431026043759747,-0.14380128908272616
6.1,2.6,5.6,1.4,Iris-virginica,1.7796401068985703,-0.5014647947060157
7.7,3.0,6.1,2.3,Iris-virginica,3.076521621020662,0.6857644422460568
6.3,3.4,5.6,2.4,Iris-virginica,2.144986856709304,0.13890660887731443
6.4,3.1,5.5,1.8,Iris-virginica,1.9048629251371318,0.048047508231834596
6.0,3.0,4.8,1.8,Iris-virginica,1.1688534694704038,-0.16450249981508994
6.9,3.1,5.4,2.1,Iris-virginica,2.107653731173268,0.3714822491771058
6.7,3.1,5.6,2.4,Iris-virginica,2.314303394629548,0.1826088507936986
6.9,3.1,5.1,2.3,Iris-virginica,1.9224508848357522,0.4092711761786957
5.8,2.7,5.1,1.9,Iris-virginica,1.4140722251737576,-0.5749250559123048
6.8,3.2,5.9,2.3,Iris-virginica,2.563322712340809,0.27597450223983816
6.7,3.3,5.7,2.5,Iris-virginica,2.41939121980498,0.30350393770262885
6.7,3.0,5.2,2.3,Iris-virginica,1.9440170488777369,0.18741522204601396
6.3,2.5,5.0,1.9,Iris-virginica,1.5256636313138727,-0.3750208481918228
6.5,3.0,5.2,2.0,Iris-virginica,1.764045935526983,0.07851918642935747
6.2,3.4,5.4,2.3,Iris-virginica,1.901629075288233,0.11587674824796555
5.9,3.0,5.1,1.8,Iris-virginica,1.3896661333194171,-0.28288670917226916
